Source,Target,Color
ESRRA,ANKHD1,green
ESRRA,SPATA13,green
ESRRA,AGO4,green
ESRRA,MED13L,green
ESRRA,TIPARP,green
ESRRA,IGHM,green
ESRRA,CACNA2D3,green
ESRRA,SCO2,green
ESRRA,DTX3L,green
ESRRA,FAM129A,green
ESRRA,TGFBI,green
ESRRA,MDS2,green
ESRRA,TRG-AS1,green
ESRRA,TKT,green
ESRRA,PYGL,green
ESRRA,LILRA5,green
ESRRA,ICOS,green
ESRRA,RAB34,green
ESRRA,METTL13,green
ESRRA,CD74,green
ESRRA,PTMS,green
ESRRA,FUCA1,green
ESRRA,MTHFD2,green
ESRRA,DENND6B,green
ESRRA,CDK6,green
ESRRA,PATL1,green
ESRRA,MGST2,green
ESRRA,CD28,green
ESRRA,SLC40A1,green
ESRRA,RPS20,green
ESRRA,MON2,green
ESRRA,CAMK1,green
ESRRA,GALK1,green
ESRRA,PLXDC2,green
ESRRA,STAT4,green
ESRRA,TNFRSF1A,green
ESRRA,RALGAPA1,green
ESRRA,DCAF12,green
ESRRA,H3F3A,green
ESRRA,NDUFA13,green
ESRRA,TUBA1A,green
ESRRA,AVL9,green
ESRRA,LAMTOR3,green
ESRRA,VCPIP1,green
ESRRA,RPL7A,green
ESRRA,BCL9L,green
ESRRA,XPNPEP1,green
ESRRA,UPP1,green
ESRRA,ARPC3,green
ESRRA,EVL,green
ESRRA,SVIL,green
ESRRA,SIRPB1,green
ESRRA,STOM,green
ESRRA,RAB28,green
ESRRA,HLA-DRB1,green
ESRRA,DYNLL1,green
ESRRA,CD69,green
ESRRA,RPL6,green
ESRRA,OSCAR,green
ESRRA,SLC10A3,green
ESRRA,TRIM52,green
ESRRA,TBC1D4,green
ESRRA,MTG2,green
ESRRA,TRAF3IP3,green
ESRRA,PID1,green
ESRRA,ATAD2B,green
ESRRA,GALK2,green
ESRRA,ETS2,green
ESRRA,CITED4,green
ESRRA,PRMT7,green
ESRRA,CD300LF,green
ESRRA,ZBTB4,green
ESRRA,MT-ND5,green
ESRRA,HLA-C,green
ESRRA,OTUD4,green
ESRRA,SORBS3,green
ESRRA,FHL3,green
ESRRA,RXRA,green
ESRRA,YWHAB,green
ESRRA,CD53,green
ESRRA,LINC00877,green
ESRRA,MT-CYB,green
ESRRA,IGF2R,green
ESRRA,NFAT5,green
ESRRA,KIAA0232,green
ESRRA,TXNDC15,green
ESRRA,PSMB8,green
ESRRA,PLBD1,green
ESRRA,ITGAX,green
ESRRA,REEP3,green
ESRRA,HSPA8,green
ESRRA,PPP1CA,green
ESRRA,SYTL3,green
ESRRA,CFAP36,green
ESRRA,ARMC6,green
ESRRA,G6PC3,green
ESRRA,BRK1,green
ESRRA,C11orf21,green
ESRRA,AC093673.5,green
ESRRA,ADAP1,green
ESRRA,FAM210B,green
ESRRA,NPM1,green
ESRRA,PTPRJ,green
ESRRA,CHCHD10,green
ESRRA,SNHG7,green
ESRRA,EVI5,green
ESRRA,RNF144B,green
ESRRA,ACAP1,green
ESRRA,CCNL1,green
ESRRA,MTR,green
ESRRA,BATF,green
ESRRA,PFN1,green
ESRRA,RPS2,green
ESRRA,TRAPPC10,green
ESRRA,MORC2,green
ESRRA,BEX5,green
ESRRA,PER1,green
ESRRA,ITGA6,green
ESRRA,LRRC8C,green
ESRRA,SLC1A5,green
ESRRA,ARPC1B,green
ESRRA,RP11-347P5.1,green
ESRRA,C19orf38,green
ESRRA,ZFP36L2,green
ESRRA,BISPR,green
ESRRA,NT5C2,green
ESRRA,HNMT,green
ESRRA,MT-CO3,green
ESRRA,CSK,green
ESRRA,P2RX4,green
ESRRA,KDM3A,green
ESRRA,ARFGAP1,green
ESRRA,CBX3,green
ESRRA,GFM1,green
ESRRA,MGST1,green
ESRRA,CLIC1,green
ESRRA,RPS12,green
ESRRA,SCAMP1,green
ESRRA,FAR1,green
ESRRA,RMDN3,green
ESRRA,C19orf52,green
ESRRA,CD4,green
ESRRA,LPCAT2,green
ESRRA,PSMA7,green
ESRRA,AP5Z1,green
ESRRA,FOXN2,green
ESRRA,FAM101B,green
ESRRA,HLA-B,green
ESRRA,CCL3L3,green
ESRRA,MIR4435-2HG,green
ESRRA,ARL5B,green
ESRRA,RPSA,green
ESRRA,RPL32,green
ESRRA,LIMD2,green
ESRRA,GIPC1,green
ESRRA,ADAM15,green
ESRRA,CTBP2,green
ESRRA,BLVRA,green
ESRRA,RBBP5,green
ESRRA,CD300C,green
ESRRA,NCOA1,green
ESRRA,MALAT1,green
ESRRA,GBP5,green
ESRRA,TMEM176B,green
ESRRA,ANXA6,green
ESRRA,TOM1,green
ESRRA,PTGS2,green
ESRRA,EEF1A1,green
ESRRA,SPATC1L,green
ESRRA,CSGALNACT2,green
ESRRA,PLP2,green
ESRRA,RPL8,green
ESRRA,MSH3,green
ESRRA,HSD17B4,green
ESRRA,TAPBP,green
ESRRA,RPS27,green
ESRRA,RPL18A,green
ESRRA,MT-CO1,green
ESRRA,CD52,green
ESRRA,LINS1,green
ESRRA,SYPL1,green
ESRRA,CTB-50L17.10,green
ESRRA,LINC00623,green
ESRRA,ARL6IP5,green
ESRRA,WDFY1,green
ESRRA,UBB,green
ESRRA,LMO2,green
ESRRA,LACTB2,green
ESRRA,FEM1A,green
ESRRA,CTB-61M7.2,green
ESRRA,CSNK2A2,green
ESRRA,APOL6,green
ESRRA,APBB1,green
ESRRA,ACTR2,green
ESRRA,JAK1,green
ESRRA,SCLT1,green
ESRRA,DENND5A,green
ESRRA,SLC12A7,green
ESRRA,TANGO2,green
ESRRA,CLEC12A,green
ESRRA,JUN,green
ESRRA,RPL31,green
ESRRA,PSAP,green
ESRRA,GDI2,green
ESRRA,MIEF1,green
ESRRA,PHACTR2,green
ESRRA,FUCA2,green
ESRRA,SULF2,green
ESRRA,SCAF11,green
ESRRA,GBP3,green
ESRRA,NF1,green
ESRRA,E2F3,green
ESRRA,MTFP1,green
ESRRA,C11orf58,green
ESRRA,RBX1,green
ESRRA,LAPTM5,green
ESRRA,UBASH3A,green
ESRRA,CCDC84,green
ESRRA,MYL12B,green
ESRRA,TNFAIP8L2,green
ESRRA,MYL12A,green
ESRRA,STT3A,green
ESRRA,UQCRB,green
ESRRA,RP11-18H21.1,green
ESRRA,LINC00649,green
ESRRA,ACTB,green
ESRRA,FKBP5,green
ESRRA,DPP4,green
ESRRA,CSF2RA,green
ESRRA,TMEM214,green
ESRRA,HIPK2,green
ESRRA,JUNB,green
ESRRA,MIAT,green
ESRRA,GDE1,green
ESRRA,CD1D,green
ESRRA,H1F0,green
ESRRA,STAT5B,green
ESRRA,IKBIP,green
ESRRA,SPCS1,green
ESRRA,KLHL7,green
ESRRA,ATP5A1,green
ESRRA,RCSD1,green
ESRRA,C18orf25,green
ESRRA,CALM2,green
ESRRA,PHF23,green
ESRRA,SCAP,green
ESRRA,AZI2,green
ESRRA,CALU,green
ESRRA,LMNA,green
ESRRA,PTPRC,green
ESRRA,CDC42SE1,green
ESRRA,CTA-292E10.6,green
ESRRA,RASA4,green
ESRRA,MAPK8,green
ESRRA,SSBP3,green
ESRRA,CDA,green
ESRRA,MAPK6,green
ESRRA,ATP6V1G1,green
ESRRA,CREBL2,green
ESRRA,GSS,green
ESRRA,EMILIN2,green
ESRRA,ADGRE2,green
ESRRA,SUB1,green
ESRRA,SPIDR,green
ESRRA,CIRBP,green
ESRRA,KCNE3,green
ESRRA,MT-ND3,green
ESRRA,QSOX1,green
ESRRA,IL6R,green
ESRRA,PTPN9,green
ESRRA,RASSF4,green
ESRRA,ITGAM,green
ESRRA,NDRG1,green
ESRRA,SERF2,green
ESRRA,TARBP1,green
ESRRA,TRIM14,green
ESRRA,NPDC1,green
ESRRA,UTP14A,green
ESRRA,ARFIP1,green
ESRRA,XCL2,green
ESRRA,ATG2A,green
ESRRA,SH3BGRL3,green
ESRRA,WWP1,green
ESRRA,EZR,green
ESRRA,GADD45A,green
ESRRA,CREB3,green
ESRRA,RPS6,green
ESRRA,CCDC28B,green
ESRRA,KIAA1715,green
ESRRA,RPS8,green
ESRRA,HLA-DPA1,green
ESRRA,CD79B,green
ESRRA,MFGE8,green
ESRRA,DDX60L,green
ESRRA,CDC14A,green
ESRRA,RPS17,green
ESRRA,RAB32,green
ESRRA,FCGR2A,green
ESRRA,MORF4L1,green
ESRRA,KLF6,green
ESRRA,ENSA,green
ESRRA,CLEC7A,green
ESRRA,TVP23B,green
ESRRA,FBXW7,green
ESRRA,FBP1,green
ESRRA,S100A9,green
ESRRA,HELB,green
ESRRA,HSBP1L1,green
ESRRA,IL2RG,green
ESRRA,DESI2,green
ESRRA,CALHM2,green
ESRRA,STK17B,green
ESRRA,CKAP4,green
ESRRA,MVD,green
ESRRA,CD300E,green
ESRRA,GNB4,green
ESRRA,MS4A1,green
ESRRA,ATP11A,green
ESRRA,ZNF467,green
ESRRA,DCTN4,green
ESRRA,STX6,green
ESRRA,SHTN1,green
ESRRA,SEP15,green
ESRRA,NBEAL2,green
ESRRA,LINC00402,green
ESRRA,HNRNPU,green
ESRRA,CAP1,green
ESRRA,APOBR,green
ESRRA,FAM228B,green
ESRRA,GPX1,green
ESRRA,LILRB3,green
ESRRA,AGTPBP1,green
ESRRA,TUBA1C,green
ESRRA,S100A6,green
ESRRA,CLEC2D,green
ESRRA,TPI1,green
ESRRA,IMPA2,green
ESRRA,WDR55,green
ESRRA,LGALS3BP,green
ESRRA,IER2,green
ESRRA,AC006369.2,green
ESRRA,TMSB10,green
ESRRA,CD48,green
ESRRA,TBXAS1,green
ESRRA,SLC39A8,green
ESRRA,CCDC88A,green
ESRRA,UBALD1,green
ESRRA,RBM28,green
ESRRA,UCP2,green
ESRRA,TUBA4A,green
ESRRA,COTL1,green
ESRRA,RBM15B,green
ESRRA,NINJ1,green
ESRRA,CXCR4,green
ESRRA,HLA-DRA,green
ESRRA,LMNB1,green
ESRRA,BCL6,green
ESRRA,PPM1F,green
ESRRA,ASGR1,green
ESRRA,SLFN12L,green
ESRRA,PASK,green
ESRRA,CUTA,green
ESRRA,TIGIT,green
ESRRA,CPPED1,green
ESRRA,MPST,green
ESRRA,RPPH1,green
ESRRA,SLC25A5,green
ESRRA,RBM43,green
ESRRA,RPL4,green
ESRRA,SLC8B1,green
ESRRA,CSF3R,green
ESRRA,SF1,green
ESRRA,STK17A,green
ESRRA,SH2B3,green
ESRRA,TESC,green
ESRRA,QPCT,green
ESRRA,THAP9-AS1,green
ESRRA,RPL22L1,green
ESRRA,TXNIP,green
ESRRA,FOSB,green
ESRRA,FAM35A,green
ESRRA,MSRB1,green
ESRRA,APOBEC3A,green
ESRRA,RPS3,green
ESRRA,PAK1,green
ESRRA,HMOX1,green
ESRRA,RP2,green
ESRRA,SH3GL1,green
ESRRA,PRR5,green
ESRRA,C9orf85,green
ESRRA,SLC35A1,green
ESRRA,KDM3B,green
ESRRA,PLAUR,green
ESRRA,TMEM91,green
ESRRA,ITM2B,green
ESRRA,FPR1,green
ESRRA,SLCO3A1,green
ESRRA,NCF1,green
ESRRA,ZC3H4,green
ESRRA,SULT1A1,green
ESRRA,VPS26B,green
ESRRA,SLC30A9,green
ESRRA,EPHA1-AS1,green
ESRRA,CLEC11A,green
ESRRA,NFAM1,green
ESRRA,VAMP4,green
ESRRA,KLHL6,green
ESRRA,ABHD2,green
ESRRA,THEMIS,green
ESRRA,LRRC25,green
ESRRA,RPL18,green
ESRRA,TRMT6,green
ESRRA,AKT1S1,green
ESRRA,PIGX,green
ESRRA,CALM1,green
ESRRA,SARAF,green
ESRRA,SLC8A1,green
ESRRA,DOCK5,green
ESRRA,MNT,green
ESRRA,ASCL2,green
ESRRA,PRRC1,green
ESRRA,TSHZ2,green
ESRRA,NUP98,green
ESRRA,GPRIN3,green
ESRRA,ACSL4,green
ESRRA,SREBF2,green
ESRRA,RPS9,green
ESRRA,ZBTB43,green
ESRRA,SYNE3,green
ESRRA,NBEAL1,green
ESRRA,AHR,green
ESRRA,MAFB,green
ESRRA,DXO,green
ESRRA,CDKN1A,green
ESRRA,RPS13,green
ESRRA,FXN,green
ESRRA,NF2,green
ESRRA,PLEKHB1,green
ESRRA,TMX3,green
ESRRA,VPS45,green
ESRRA,KLF2,green
ESRRA,RNPC3,green
ESRRA,PLA2G16,green
ESRRA,RCBTB2,green
ESRRA,ACADS,green
ESRRA,TRAF1,green
ESRRA,SMARCAD1,green
ESRRA,TBCD,green
ESRRA,GAPDH,green
ESRRA,FTSJ3,green
ESRRA,GABARAPL2,green
ESRRA,AGO1,green
ESRRA,PNMA1,green
ESRRA,SSR4,green
ESRRA,ADIPOR2,green
ESRRA,KCTD12,green
ESRRA,LBH,green
ESRRA,COX5B,green
ESRRA,CALR,green
ESRRA,ATP5I,green
ESRRA,ZYG11B,green
ESRRA,HAPLN3,green
ESRRA,ID1,green
ESRRA,GRB2,green
ESRRA,HLA-G,green
ESRRA,CISH,green
ESRRA,MBD5,blue
ESRRA,ZDHHC17,blue
ESRRA,SEPT11,blue
ESRRA,NFKBIA,blue
ESRRA,CNPY3,blue
ESRRA,ZFPL1,blue
ESRRA,OTUD6B-AS1,blue
ESRRA,CAPZA1,blue
ESRRA,HRAS,blue
ESRRA,GLT8D1,blue
ESRRA,TACC3,blue
ESRRA,ARCN1,blue
ESRRA,SLC7A7,blue
ESRRA,GCHFR,blue
ESRRA,FAM219B,blue
ESRRA,CD44,blue
ESRRA,CCND2,blue
ESRRA,TXNRD1,blue
ESRRA,PSMC5,blue
ESRRA,MAP7D3,blue
ESRRA,NPM3,blue
ESRRA,EIF1B,blue
ESRRA,SCAND1,blue
ESRRA,PGD,blue
ESRRA,UBP1,blue
ESRRA,KIAA1429,blue
ESRRA,TBC1D20,blue
ESRRA,HDAC10,blue
ESRRA,IL13RA1,blue
ESRRA,TMOD3,blue
ESRRA,MATK,blue
ESRRA,ARID3A,blue
ESRRA,DDX19A,blue
ESRRA,ABLIM1,blue
ESRRA,UBN1,blue
ESRRA,HEBP1,blue
ESRRA,POP7,blue
ESRRA,PPP2R5C,blue
ESRRA,SLC2A3,blue
ESRRA,SNX2,blue
ESRRA,BAP1,blue
ESRRA,PSMD4,blue
ESRRA,MLH1,blue
ESRRA,TSPAN32,blue
ESRRA,TRABD,blue
ESRRA,DCUN1D1,blue
ESRRA,ZZZ3,blue
ESRRA,TC2N,blue
ESRRA,CFD,blue
ESRRA,CXCR3,blue
ESRRA,AC092580.4,blue
ESRRA,VPREB3,blue
ESRRA,RCOR1,blue
ESRRA,VASP,blue
ESRRA,TSC22D2,blue
ESRRA,NDUFA2,blue
ESRRA,MED1,blue
ESRRA,PTPN12,blue
ESRRA,LGALS1,blue
ESRRA,TSPAN17,blue
ESRRA,ZNF451,blue
ESRRA,ARNT,blue
ESRRA,OGFOD3,blue
ESRRA,IRF2BP2,blue
ESRRA,ST6GALNAC4,blue
ESRRA,MAN2A1,blue
ESRRA,TWF1,blue
ESRRA,AP3M2,blue
ESRRA,VCL,blue
ESRRA,TNFSF13B,blue
ESRRA,PACSIN2,blue
ESRRA,CTD-2020K17.1,blue
ESRRA,CEP290,blue
ESRRA,SUCLA2,blue
ESRRA,PHF12,blue
ESRRA,TUG1,blue
ESRRA,CUL2,blue
ESRRA,WSB1,blue
ESRRA,IQGAP2,blue
ESRRA,UNC13D,blue
ESRRA,C2orf74,blue
ESRRA,GSTP1,blue
ESRRA,HNRNPR,blue
ESRRA,FTSJ2,blue
ESRRA,DUS1L,blue
ESRRA,ODF2,blue
ESRRA,DPYD,blue
ESRRA,HSDL2,blue
ESRRA,ASL,blue
ESRRA,L3MBTL2,blue
ESRRA,EMG1,blue
ESRRA,GLB1,blue
ESRRA,SRRM2,blue
ESRRA,HSD17B11,blue
ESRRA,ZBTB38,blue
ESRRA,NEAT1,blue
ESRRA,PLCB2,blue
ESRRA,INPP4A,blue
ESRRA,SARNP,blue
ESRRA,TMEM2,blue
ESRRA,RNF14,blue
ESRRA,ESYT2,blue
ESRRA,MUS81,blue
ESRRA,RIT1,blue
ESRRA,BRD8,blue
ESRRA,BEST1,blue
ESRRA,PTCH2,blue
ESRRA,ALG3,blue
ESRRA,BCL2,blue
ESRRA,PLEC,blue
ESRRA,AP3M1,blue
ESRRA,FCF1,blue
ESRRA,C19orf12,blue
ESRRA,KIAA2013,blue
ESRRA,AIMP1,blue
ESRRA,POU2F2,blue
ESRRA,LRRN3,blue
ESRRA,LCP2,blue
ESRRA,MINA,blue
ESRRA,AGTRAP,blue
ESRRA,SNX4,blue
ESRRA,PTGER2,blue
ESRRA,IRF8,blue
ESRRA,MT2A,blue
ESRRA,DUSP23,blue
ESRRA,TNFRSF13C,blue
ESRRA,HLA-DOB,blue
ESRRA,ORAI2,blue
ESRRA,SCAI,blue
ESRRA,APBA2,blue
ESRRA,CFP,blue
ESRRA,AURKAIP1,blue
ESRRA,GALNT11,blue
ESRRA,CSNK1E,blue
ESRRA,MRPL32,blue
ESRRA,SCRN2,blue
ESRRA,NOP16,blue
ESRRA,PITPNC1,blue
ESRRA,FAM120AOS,blue
ESRRA,EBPL,blue
ESRRA,NCF2,blue
ESRRA,RBM23,blue
ESRRA,LAPTM4A,blue
ESRRA,ARL6IP1,blue
ESRRA,CD300A,blue
ESRRA,FAM110A,blue
ESRRA,DPP3,blue
ESRRA,SACM1L,blue
